web-scraper-order,web-scraper-start-url,Link,Link-href,name,price,capacity,type,frequency,latency,image-src
"1698055078-215","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/419246-pamiec-ram-ddr4-goodram-4gb-1x4gb-2666mhz-cl19.html","GOODRAM 4GB (1x4GB) 2666MHz CL19","79,00 zł","4 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/10/pr_2017_10_23_8_40_36_522_00.jpg"
"1698055087-216","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/427819-pamiec-ram-ddr4-gskill-8gb-1x8gb-2666mhz-cl19-value.html","G.SKILL 8GB (1x8GB) 2666MHz CL19 Value","94,99 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_15_38_7_230.jpg"
"1698055095-217","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/459313-pamiec-ram-ddr4-gskill-16gb-2x8gb-3200mhz-cl16-flare-x-black-ryzen.html","G.SKILL 16GB (2x8GB) 3200MHz CL16 Flare X Black Ryzen","249,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_58_45_425.jpg"
"1698055104-218","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/488247-pamiec-ram-ddr4-corsair-32gb-2x16gb-3200mhz-cl16-dominator-platinum-rgb.html","Corsair 32GB (2x16GB) 3200MHz CL16 Dominator Platinum RGB","499,00 zł","32 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/3/pr_2019_3_26_9_30_7_525_02.jpg"
"1698055111-219","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/523837-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl18-tridentz-rgb-neo.html","G.SKILL 16GB (2x8GB) 3600MHz CL18 TridentZ RGB Neo","329,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_19_11_11_26_260_02.jpg"
"1698055118-220","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/550214-pamiec-ram-ddr4-patriot-8gb-1x8gb-3200mhz-cl16-viper-steel.html","Patriot 8GB (1x8GB) 3200MHz CL16 Viper Steel","119,00 zł","8 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/2/pr_2019_2_1_13_8_6_779_00.jpg"
"1698055126-221","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/586662-pamiec-ram-ddr4-gskill-64gb-2x32gb-3600mhz-cl18-ripjaws-v.html","G.SKILL 64GB (2x32GB) 3600MHz CL18 Ripjaws V","799,00 zł","64 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_19_38_351.jpg"
"1698055131-222","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/610823-pamiec-ram-ddr4-goodram-16gb-1x16gb-2666mhz-cl19.html","GOODRAM 16GB (1x16GB) 2666MHz CL19","189,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/12/pr_2020_12_1_12_41_11_339_00.jpg"
"1698055140-223","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/621624-pamiec-ram-ddr4-patriot-32gb-2x16gb-3200mhz-cl18-viper-steel-rgb.html","Patriot 32GB (2x16GB) 3200MHz CL18 Viper Steel RGB","379,00 zł","32 GB","DDR4","3200 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_20_16_42_51_614_00.jpg"
"1698055145-224","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/642339-pamiec-ram-sodimm-ddr4-adata-16gb-1x16gb-3200mhz-cl22.html","ADATA 16GB (1x16GB) 3200MHz CL22","155,00 zł","16 GB","DDR4","3200 MHz","CL 22","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_12_8_55_56_144_00.jpg"
"1698055152-225","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/645726-pamiec-ram-ddr4-pny-16gb-2x8gb-3200mhz-cl16-xlr8-rgb.html","PNY 16GB (2x8GB) 3200MHz CL16 XLR8 RGB","239,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_12_10_16_42_293_02.jpg"
"1698055158-226","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667489-pamiec-ram-ddr4-kingston-fury-32gb-1x32gb-3200mhz-cl16-beast-black.html","Kingston FURY 32GB (1x32GB) 3200MHz CL16 Beast Black","369,00 zł","32 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_7_14_9_37_715_02.jpg"
"1698055163-227","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667531-pamiec-ram-ddr4-kingston-fury-128gb-4x32gb-3600mhz-cl18-beast-black.html","Kingston FURY 128GB (4x32GB) 3600MHz CL18 Beast Black","1 649,00 zł","128 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_7_14_35_58_101_02.jpg"
"1698055172-228","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667598-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-2666mhz-cl16-beast-rgb.html","Kingston FURY 8GB (1x8GB) 2666MHz CL16 Beast RGB","159,00 zł","8 GB","DDR4","2666 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_25_20_528_02.jpg"
"1698055181-229","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667835-pamiec-ram-ddr4-kingston-fury-64gb-2x32gb-3600mhz-cl18-beast-rgb.html","Kingston FURY 64GB (2x32GB) 3600MHz CL18 Beast RGB","889,00 zł","64 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_28_8_356_02.jpg"
"1698055187-230","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668003-pamiec-ram-ddr4-kingston-fury-16gb-2x8gb-2666mhz-cl13-renegade-black.html","Kingston FURY 16GB (2x8GB) 2666MHz CL13 Renegade Black","249,00 zł","16 GB","DDR4","2666 MHz","CL 13","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_39_4_156_02.jpg"
"1698055193-231","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668386-pamiec-ram-ddr4-kingston-fury-16gb-1x16gb-3600mhz-cl16-renegade-rgb.html","Kingston FURY 16GB (1x16GB) 3600MHz CL16 Renegade RGB","279,00 zł","16 GB","DDR4","3600 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_13_14_28_55_445_02.jpg"
"1698055199-232","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/717172-pamiec-ram-sodimm-ddr4-goodram-32gb-1x32gb-3200mhz-cl22.html","GOODRAM 32GB (1x32GB) 3200MHz CL22","309,00 zł","32 GB","DDR4","3200 MHz","CL 22","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_11_8_37_56_186_00.jpg"
"1698055206-233","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/718849-pamiec-ram-ddr5-corsair-32gb-2x16gb-5600mhz-cl36-dominator-platinum-rgb.html","Corsair 32GB (2x16GB) 5600MHz CL36 Dominator Platinum RGB","739,00 zł","32 GB","DDR5","5600 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_31_8_41_57_589_00.jpg"
"1698055212-234","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1072114-pamiec-ram-ddr5-kingston-fury-16gb-1x16gb-6000mhz-cl36-beast-rgb-expo-amd.html","Kingston FURY 16GB (1x16GB) 6000MHz CL36 Beast RGB EXPO AMD","369,00 zł","16 GB","DDR5","6000 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_13_13_15_14_109_00.jpg"
"1698055218-235","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1115212-pamiec-ram-ddr4-silicon-power-16gb-1x16gb-3200mhz-cl16-xpower-zenith-rgb.html","Silicon Power 16GB (1x16GB) 3200MHz CL16 XPOWER Zenith RGB","199,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_6_14_45_40_756_01.jpg"
"1698055223-236","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1116193-pamiec-ram-ddr5-kingston-fury-64gb-2x32gb-6000mhz-cl36-beast-rgb-expo.html","Kingston FURY 64GB (2x32GB)  6000MHz CL36 Beast RGB EXPO","1 309,00 zł","64 GB","DDR5","6000 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_23_9_20_42_827_01.jpg"
"1698055227-237","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1144945-pamiec-ram-ddr3-pny-8gb-1x8gb-1600mhz-cl11.html","PNY 8GB (1x8GB) 1600MHz CL11","73,99 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_16_11_36_22_560_01.jpg"
"1698055235-238","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/257988-pamiec-ram-ddr4-corsair-8gb-1x8gb-2400mhz-cl14-vengeance-lpx-black.html","Corsair 8GB (1x8GB) 2400MHz CL14 Vengeance LPX Black","109,00 zł","8 GB","DDR4","2400 MHz","CL 14","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_21_12_44_5_526.jpg"
"1698055241-239","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/428339-pamiec-ram-ddr4-gskill-16gb-1x16gb-3000mhz-cl16-aegis.html","G.SKILL 16GB (1x16GB) 3000MHz CL16 Aegis","169,00 zł","16 GB","DDR4","3000 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_27_34_631.jpg"
"1698055246-240","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/542303-pamiec-ram-ddr4-patriot-8gb-2x4gb-3200mhz-cl16-viper-4-blackout.html","Patriot 8GB (2x4GB) 3200MHz CL16 Viper 4 Blackout","139,00 zł","8 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/8/pr_2019_8_29_9_49_41_592_00.jpg"
"1698055252-241","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/579420-pamiec-ram-ddr4-gskill-32gb-2x16gb-3600mhz-cl16-ripjaws-v.html","G.SKILL 32GB (2x16GB) 3600MHz CL16 Ripjaws V","489,00 zł","32 GB","DDR4","3600 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_19_38_351.jpg"
"1698055257-242","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/616303-pamiec-ram-ddr4-goodram-16gb-1x16gb-3200mhz-cl22.html","GOODRAM 16GB (1x16GB) 3200MHz CL22","159,00 zł","16 GB","DDR4","3200 MHz","CL 22","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/12/pr_2020_12_1_12_41_11_339_00.jpg"
"1698055266-243","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/624126-pamiec-ram-ddr4-corsair-32gb-2x16gb-3600mhz-cl18-vengeance-rgb-pro-sl.html","Corsair 32GB (2x16GB) 3600MHz CL18 Vengeance RGB PRO SL","439,00 zł","32 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_22_11_29_3_386_01.jpg"
"1698055274-244","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/631024-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl18-ripjaws-v.html","G.SKILL 16GB (2x8GB) 3600MHz CL18 Ripjaws V","219,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_19_38_351.jpg"
"1698055281-245","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667755-pamiec-ram-ddr4-kingston-fury-32gb-1x32gb-3600mhz-cl18-renegade-black.html","Kingston FURY 32GB (1x32GB) 3600MHz CL18 Renegade Black","439,00 zł","32 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698055291-246","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668397-pamiec-ram-ddr4-kingston-fury-64gb-2x32gb-3600mhz-cl18-renegade-rgb.html","Kingston FURY 64GB (2x32GB) 3600MHz CL18 Renegade RGB","939,00 zł","64 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_13_14_30_56_82_02.jpg"
"1698055297-247","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668823-pamiec-ram-ddr3-kingston-fury-16gb-2x8gb-1600mhz-cl10-beast-black.html","Kingston FURY 16GB (2x8GB) 1600MHz CL10 Beast Black","349,00 zł","16 GB","DDR3","1600 MHz","CL 10","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_15_15_10_10_485_02.jpg"
"1698055303-248","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/693349-pamiec-ram-ddr5-kingston-fury-16gb-1x16gb-4800mhz-cl38-beast-black.html","Kingston FURY 16GB (1x16GB) 4800MHz CL38 Beast Black","289,00 zł","16 GB","DDR5","4800 MHz","CL 38","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_29_8_50_46_107_02.jpg"
"1698055309-249","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/693354-pamiec-ram-ddr5-kingston-fury-32gb-2x16gb-5200mhz-cl40-beast-black.html","Kingston FURY 32GB (2x16GB) 5200MHz CL40 Beast Black","599,00 zł","32 GB","DDR5","5200 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_29_8_56_21_646_02.jpg"
"1698055314-250","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/704566-pamiec-ram-ddr5-patriot-8gb-1x8gb-4800mhz-cl40-signature.html","Patriot 8GB (1x8GB) 4800MHz CL40 Signature","159,00 zł","8 GB","DDR5","4800 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_9_12_58_43_47_01.jpg"
"1698055319-251","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/718611-pamiec-ram-ddr5-gskill-32gb-2x16gb-5200mhz-cl36-trident-z5-rgb.html","G.SKILL 32GB (2x16GB) 5200MHz CL36 Trident Z5 RGB","609,00 zł","32 GB","DDR5","5200 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_2_12_14_36_90_02.jpg"
"1698055324-252","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/721704-pamiec-ram-ddr4-gigabyte-16gb-2x8gb-3333mhz-cl18-aorus-rgb.html","Gigabyte 16GB (2x8GB) 3333Mhz CL18 Aorus RGB","289,00 zł","16 GB","DDR4","3333 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_9_9_50_34_845_02.jpg"
"1698055330-253","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1063538-pamiec-ram-ddr5-kingston-fury-16gb-1x16gb-6400mhz-cl32-renegade-silver.html","Kingston FURY 16GB (1x16GB) 6400MHz CL32 Renegade Silver","369,00 zł","16 GB","DDR5","6400 MHz","CL 32","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_11_11_37_11_206_00.jpg"
"1698055336-254","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1073085-pamiec-ram-ddr4-kingston-fury-16gb-2x8gb-3200mhz-cl16-beast-white-rgb.html","Kingston FURY 16GB (2x8GB) 3200MHz CL16 Beast White RGB","309,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_19_13_33_15_69_02.jpg"
"1698055344-255","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1182226-pamiec-ram-ddr5-goodram-64gb-2x32gb-6400mhz-cl32-irdm-black-v-silver.html","GOODRAM 64GB (2x32GB) 6400MHz CL32 IRDM BLACK V SILVER","1 149,00 zł","64 GB","DDR5","6400 MHz","CL 32","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_22_9_29_58_934_00.jpg"
